652	111	133	123	96	89	100
643.5	111	145	117.5	96	88	86
632.5	109	131	126.5	92	83	91
632.5	104	113	129.5	94	94	98
630	111	134	118	92	89	86
625.5	100	140	109.5	95	97	84
601.5	106	137	97.5	86	92	83
598	108	112	121	92	85	80
597	111	132	115	69	80	90
592	105	124	123	73	83	84
590.5	108	101	126.5	78	92	85
588	107	130	106	86	78	81
578	102	102	111	93	87	83
574	100	95	108	98	83	90
573.5	113	104	115.5	77	84	80
559.5	107	109	124.5	73	72	74
557.5	104	132	102.5	65	77	77
549	108	101	117	63	75	85
548	107	81	119	88	71	82
